puzzleId	word	row	column	direction	clueContent
000294	STEALTH	2	1	across	NA
000294	TORN	3	1	across	NA
000294	EA	3	6	across	NA
000294	ATA	4	1	across	NA
000294	SAT	4	5	across	NA
000294	TE	5	1	across	NA
000294	CASE	5	4	across	NA
000294	I	6	1	across	NA
000294	NONE	6	3	across	NA
000294	STEAD	7	1	across	NA
000294	M	7	7	across	NA
000294	TERRACE	8	1	across	NA
000294	IA	9	1	across	NA
000294	SLAM	9	4	across	NA
000294	CLUE	10	1	across	NA
000294	AE	10	6	across	NA
000294	STATISTIC	1	2	down	NA
000294	TOTE	1	3	down	NA
000294	TEAL	6	3	down	NA
000294	ERA	1	4	down	NA
000294	NER	5	4	down	NA
000294	U	9	4	down	NA
000294	AN	1	5	down	NA
000294	COARSE	4	5	down	NA
000294	L	1	6	down	NA
000294	SANDAL	3	6	down	NA
000294	TEASE	1	7	down	NA
000294	CAA	7	7	down	NA
000294	HATE	1	8	down	NA
000294	MEME	6	8	down	NA
000295	PERFECT	2	1	across	NA
000295	AVI	3	1	across	NA
000295	RAE	3	5	across	NA
000295	REAR	4	1	across	NA
000295	RN	4	6	across	NA
000295	AN	5	1	across	NA
000295	OATS	5	4	across	NA
000295	L	6	1	across	NA
000295	ABLE	6	3	across	NA
000295	YAHOO	7	1	across	NA
000295	R	7	7	across	NA
000295	STATUTE	8	1	across	NA
000295	IO	9	1	across	NA
000295	IDEA	9	4	across	NA
000295	SPEC	10	1	across	NA
000295	EL	10	6	across	NA
000295	PARALYSIS	1	2	down	NA
000295	EVEN	1	3	down	NA
000295	ATOP	6	3	down	NA
000295	RIA	1	4	down	NA
000295	AHA	5	4	down	NA
000295	E	9	4	down	NA
000295	F	1	5	down	NA
000295	ROBOTIC	3	5	down	NA
000295	ER	1	6	down	NA
000295	ALOUD	4	6	down	NA
000295	CARTE	1	7	down	NA
000295	TEE	7	7	down	NA
000295	TENS	1	8	down	NA
000295	REAL	6	8	down	NA
000296	SARCASM	2	1	across	NA
000296	TRA	3	1	across	NA
000296	SEA	3	5	across	NA
000296	RASP	4	1	across	NA
000296	AN	4	6	across	NA
000296	EB	5	1	across	NA
000296	HTML	5	4	across	NA
000296	T	6	1	across	NA
000296	TYA	6	3	across	NA
000296	Y	6	7	across	NA
000296	CLASSY	7	1	across	NA
000296	HABITAT	8	1	across	NA
000296	EV	9	1	across	NA
000296	CERT	9	4	across	NA
000296	RATS	10	1	across	NA
000296	DS	10	6	across	NA
000296	STRETCHER	1	2	down	NA
000296	ARAB	1	3	down	NA
000296	LAVA	6	3	down	NA
000296	RAS	1	4	down	NA
000296	TAB	5	4	down	NA
000296	T	9	4	down	NA
000296	C	1	5	down	NA
000296	PHYSICS	3	5	down	NA
000296	AS	1	6	down	NA
000296	TASTE	4	6	down	NA
000296	SEAM	1	7	down	NA
000296	YARD	6	7	down	NA
000296	MANLY	1	8	down	NA
000296	TTS	7	8	down	NA
000297	COMPASS	2	1	across	NA
000297	ARA	3	1	across	NA
000297	EAT	3	5	across	NA
000297	MATE	4	1	across	NA
000297	NA	4	6	across	NA
000297	EL	5	1	across	NA
000297	ABET	5	4	across	NA
000297	R	6	1	across	NA
000297	NSE	6	3	across	NA
000297	E	6	7	across	NA
000297	AVATAR	7	1	across	NA
000297	MINERAL	8	1	across	NA
000297	AN	9	1	across	NA
000297	REPO	9	4	across	NA
000297	NEA	10	1	across	NA
000297	RTC	10	5	across	NA
000297	CAMERAMAN	1	2	down	NA
000297	ORAL	1	3	down	NA
000297	VINE	6	3	down	NA
000297	MAT	1	4	down	NA
000297	NAN	5	4	down	NA
000297	A	9	4	down	NA
000297	P	1	5	down	NA
000297	EASTER	3	5	down	NA
000297	AE	1	6	down	NA
000297	BEARER	4	6	down	NA
000297	SANE	1	7	down	NA
000297	RAPT	6	7	down	NA
000297	STATE	1	8	down	NA
000297	LOC	7	8	down	NA
000298	ARTISAN	2	1	across	NA
000298	PART	3	1	across	NA
000298	RE	3	6	across	NA
000298	P	4	1	across	NA
000298	ANDES	4	3	across	NA
000298	ASI	5	1	across	NA
000298	ENT	5	5	across	NA
000298	R	6	1	across	NA
000298	NANA	6	3	across	NA
000298	ADEPT	7	1	across	NA
000298	T	7	7	across	NA
000298	TEENAGE	8	1	across	NA
000298	UM	9	1	across	NA
000298	ELBE	9	4	across	NA
000298	SOFA	10	1	across	NA
000298	IN	10	6	across	NA
000298	APPARATUS	1	2	down	NA
000298	RA	1	3	down	NA
000298	S	4	3	down	NA
000298	DEMO	6	3	down	NA
000298	TRAINEE	1	4	down	NA
000298	F	9	4	down	NA
000298	ITN	1	5	down	NA
000298	APNEA	5	5	down	NA
000298	S	1	6	down	NA
000298	DENTAL	3	6	down	NA
000298	ARENA	1	7	down	NA
000298	GBI	7	7	down	NA
000298	NEST	1	8	down	NA
000298	TEEN	6	8	down	NA
000299	STYLIST	2	1	across	NA
000299	THAT	3	1	across	NA
000299	AA	3	6	across	NA
000299	AAA	4	1	across	NA
000299	RIP	4	5	across	NA
000299	TI	5	1	across	NA
000299	CONE	5	4	across	NA
000299	E	6	1	across	NA
000299	SOOT	6	3	across	NA
000299	STINK	7	1	across	NA
000299	P	7	7	across	NA
000299	MARTINI	8	1	across	NA
000299	AC	9	1	across	NA
000299	REIN	9	4	across	NA
000299	NOVA	10	1	across	NA
000299	AE	10	6	across	NA
000299	STATESMAN	1	2	down	NA
000299	THAI	1	3	down	NA
000299	TACO	6	3	down	NA
000299	YAA	1	4	down	NA
000299	SIR	5	4	down	NA
000299	V	9	4	down	NA
000299	LT	1	5	down	NA
000299	CONTRA	4	5	down	NA
000299	I	1	6	down	NA
000299	ROOKIE	3	6	down	NA
000299	SAINT	1	7	down	NA
000299	NIA	7	7	down	NA
000299	TAPE	1	8	down	NA
000299	PINE	6	8	down	NA
000300	SETBACK	2	1	across	NA
000300	EXA	3	1	across	NA
000300	EAI	3	5	across	NA
000300	PAPA	4	1	across	NA
000300	TL	4	6	across	NA
000300	AM	5	1	across	NA
000300	LOCO	5	4	across	NA
000300	R	6	1	across	NA
000300	ETCH	6	3	across	NA
000300	AGREE	7	1	across	NA
000300	E	7	7	across	NA
000300	TERRACE	8	1	across	NA
000300	EN	9	1	across	NA
000300	ENOL	9	4	across	NA
000300	DEAD	10	1	across	NA
000300	AS	10	6	across	NA
000300	SEPARATED	1	2	down	NA
000300	EXAM	1	3	down	NA
000300	GENE	6	3	down	NA
000300	TAP	1	4	down	NA
000300	ERR	5	4	down	NA
000300	A	9	4	down	NA
000300	B	1	5	down	NA
000300	ALTERED	3	5	down	NA
000300	AE	1	6	down	NA
000300	OCEAN	4	6	down	NA
000300	CATCH	1	7	down	NA
000300	COA	7	7	down	NA
000300	KILO	1	8	down	NA
000300	EELS	6	8	down	NA
000301	STYLISH	2	1	across	NA
000301	THEE	3	1	across	NA
000301	TO	3	6	across	NA
000301	AAA	4	1	across	NA
000301	SOP	4	5	across	NA
000301	TT	5	1	across	NA
000301	TUNE	5	4	across	NA
000301	I	6	1	across	NA
000301	CARE	6	3	across	NA
000301	SCARE	7	1	across	NA
000301	O	7	7	across	NA
000301	TANGLED	8	1	across	NA
000301	IN	9	1	across	NA
000301	EYED	9	4	across	NA
000301	CENT	10	1	across	NA
000301	LS	10	6	across	NA
000301	STATISTIC	1	2	down	NA
000301	THAT	1	3	down	NA
000301	CANE	6	3	down	NA
000301	YEA	1	4	down	NA
000301	CAN	5	4	down	NA
000301	N	9	4	down	NA
000301	LE	1	5	down	NA
000301	TARGET	4	5	down	NA
000301	I	1	6	down	NA
000301	SURELY	3	6	down	NA
000301	STONE	1	7	down	NA
000301	EEL	7	7	down	NA
000301	HOPE	1	8	down	NA
000301	ODDS	6	8	down	NA
000302	CONCERT	2	1	across	NA
000302	AVC	3	1	across	NA
000302	AAH	3	5	across	NA
000302	RAIN	4	1	across	NA
000302	TE	4	6	across	NA
000302	IL	5	1	across	NA
000302	USER	5	4	across	NA
000302	B	6	1	across	NA
000302	ACT	6	3	across	NA
000302	E	6	7	across	NA
000302	BARLEY	7	1	across	NA
000302	EMPEROR	8	1	across	NA
000302	AI	9	1	across	NA
000302	UNDO	9	4	across	NA
000302	NDAS	10	1	across	NA
000302	AA	10	6	across	NA
000302	CARIBBEAN	1	2	down	NA
000302	OVAL	1	3	down	NA
000302	AMID	6	3	down	NA
000302	NCI	1	4	down	NA
000302	ARP	5	4	down	NA
000302	A	9	4	down	NA
000302	C	1	5	down	NA
000302	NUCLEUS	3	5	down	NA
000302	EA	1	6	down	NA
000302	STERN	4	6	down	NA
000302	RATE	1	7	down	NA
000302	YODA	6	7	down	NA
000302	THERE	1	8	down	NA
000302	ROA	7	8	down	NA
000303	ARRIVAL	2	1	across	NA
000303	SOIL	3	1	across	NA
000303	RO	3	6	across	NA
000303	CAB	4	1	across	NA
000303	SRO	4	5	across	NA
000303	ER	5	1	across	NA
000303	SEAT	5	4	across	NA
000303	R	6	1	across	NA
000303	AIRY	6	3	across	NA
000303	TABLE	7	1	across	NA
000303	O	7	7	across	NA
000303	ARSENAL	8	1	across	NA
000303	IS	9	1	across	NA
000303	NERD	9	4	across	NA
000303	NEXT	10	1	across	NA
000303	TY	10	6	across	NA
000303	ASCERTAIN	1	2	down	NA
000303	ROAR	1	3	down	NA
000303	ARSE	6	3	down	NA
000303	RIB	1	4	down	NA
000303	ABS	5	4	down	NA
000303	X	9	4	down	NA
000303	IL	1	5	down	NA
000303	SILENT	4	5	down	NA
000303	V	1	6	down	NA
000303	SERENE	3	6	down	NA
000303	ARRAY	1	7	down	NA
000303	ART	7	7	down	NA
000303	LOOT	1	8	down	NA
000303	OLDY	6	8	down	NA
000304	AGAINST	2	1	across	NA
000304	SAND	3	1	across	NA
000304	TA	3	6	across	NA
000304	STA	4	1	across	NA
000304	PAM	4	5	across	NA
000304	IE	5	1	across	NA
000304	TONE	5	4	across	NA
000304	S	6	1	across	NA
000304	HERD	6	3	across	NA
000304	TOAST	7	1	across	NA
000304	R	7	7	across	NA
000304	AGITATE	8	1	across	NA
000304	NR	9	1	across	NA
000304	ELSA	9	4	across	NA
000304	TEAR	10	1	across	NA
000304	OD	10	6	across	NA
000304	ASSISTANT	1	2	down	NA
000304	GATE	1	3	down	NA
000304	OGRE	6	3	down	NA
000304	ANA	1	4	down	NA
000304	HAI	5	4	down	NA
000304	A	9	4	down	NA
000304	ID	1	5	down	NA
000304	TESTER	4	5	down	NA
000304	N	1	6	down	NA
000304	PORTAL	3	6	down	NA
000304	STAND	1	7	down	NA
000304	TSO	7	7	down	NA
000304	TAME	1	8	down	NA
000304	READ	6	8	down	NA
000305	ASTOUND	2	1	across	NA
000305	STAT	3	1	across	NA
000305	AU	3	6	across	NA
